""
me_per_epoch,loss,lr,training_time,test_time,iou
83,7.008165,0.019686,0.003000,1450.142541,2.345285,0.934527
84,7.024389,0.019934,0.003000,1450.142541,2.345285,0.934527
85,7.056123,0.020093,0.003000,1450.142541,2.345285,0.934527
86,7.007730,0.020209,0.003000,1450.142541,2.345285,0.934527
87,7.060740,0.020089,0.003000,1450.142541,2.345285,0.934527
88,7.031181,0.019352,0.003000,1450.142541,2.345285,0.934527
89,7.038289,0.018574,0.003000,1450.142541,2.345285,0.934527
90,7.000605,0.018078,0.003000,1450.142541,2.345285,0.934527
91,7.030847,0.017875,0.003000,1450.142541,2.345285,0.934527
92,7.023664,0.017829,0.003000,1450.142541,2.345285,0.934527
93,7.048490,0.017703,0.003000,1450.142541,2.345285,0.934527
94,7.027414,0.017581,0.003000,1450.142541,2.345285,0.934527
95,7.011868,0.017514,0.003000,1450.142541,2.345285,0.934527
96,7.028152,0.017492,0.003000,1450.142541,2.345285,0.934527
97,7.014634,0.017550,0.003000,1450.142541,2.345285,0.934527
98,7.031877,0.017723,0.003000,1450.142541,2.345285,0.934527
99,7.035367,0.017632,0.003000,1450.142541,2.345285,0.934527
100,7.024273,0.017117,0.003000,1450.142541,2.345285,0.934527
101,7.026033,0.016717,0.003000,1450.142541,2.345285,0.934527
102,7.005783,0.016478,0.003000,1450.142541,2.345285,0.934527
103,7.043216,0.016294,0.003000,1450.142541,2.345285,0.934527
104,7.028167,0.016218,0.003000,1450.142541,2.345285,0.934527
105,7.041875,0.016149,0.003000,1450.142541,2.345285,0.934527
106,7.056482,0.016009,0.003000,1450.142541,2.345285,0.934527
107,7.011788,0.015955,0.003000,1450.142541,2.345285,0.934527
108,7.022859,0.015974,0.003000,1450.142541,2.345285,0.934527
109,7.042056,0.016032,0.003000,1450.142541,2.345285,0.934527
110,7.035663,0.016189,0.003000,1450.142541,2.345285,0.934527
111,7.032616,0.016498,0.003000,1450.142541,2.345285,0.934527
112,7.038411,0.016796,0.003000,1450.142541,2.345285,0.934527
113,7.025310,0.016770,0.003000,1450.142541,2.345285,0.934527
114,7.014483,0.016485,0.003000,1450.142541,2.345285,0.934527
115,7.026305,0.016433,0.003000,1450.142541,2.345285,0.934527
116,7.006438,0.016422,0.003000,1450.142541,2.345285,0.934527
117,7.032157,0.016219,0.003000,1450.142541,2.345285,0.934527
118,7.033515,0.016126,0.003000,1450.142541,2.345285,0.934527
119,7.037785,0.016180,0.003000,1450.142541,2.345285,0.934527
120,7.031646,0.015715,0.001500,1450.142541,2.345285,0.934527
121,7.034590,0.015734,0.001500,1450.142541,2.345285,0.934527
122,7.016609,0.015322,0.001500,1450.142541,2.345285,0.934527
123,7.021691,0.015059,0.001500,1450.142541,2.345285,0.934527
124,7.022722,0.014875,0.001500,1450.142541,2.345285,0.934527
125,7.042519,0.014729,0.001500,1450.142541,2.345285,0.934527
126,7.043388,0.014596,0.001500,1450.142541,2.345285,0.934527
127,7.048431,0.014494,0.001500,1450.142541,2.345285,0.934527
128,7.030289,0.014413,0.001500,1450.142541,2.345285,0.934527
129,7.022290,0.014346,0.001500,1450.142541,2.345285,0.934527
130,7.005024,0.014301,0.001500,1450.142541,2.345285,0.934527
131,7.034036,0.014288,0.001500,1450.142541,2.345285,0.934527
132,7.032868,0.014326,0.001500,1450.142541,2.345285,0.934527
133,7.024467,0.014436,0.001500,1450.142541,2.345285,0.934527
134,7.025424,0.014649,0.001500,1450.142541,2.345285,0.934527
